TransactionID,CustomerID,ProductID,SaleDate,SaleAmount,Quantity,Discount,TotalAmount,PaymentMethod,StoreLocation
TRANS0001,CUST167,PROD001,1/1/2021,457.06,,0.27,679.44,PayPal,In-Store
TRANS0002,CUST042,PROD002,1/2/2021,961.29,8,0.27,442.1,Bank Transfer,In-Store
TRANS0003,CUST108,PROD003,1/3/2021,152.01,,0.25,233.44,PayPal,In-Store
TRANS0004,CUST047,PROD004,1/4/2021,150.9,4,,884.71,PayPal,In-Store
TRANS0005,CUST124,PROD005,1/5/2021,327.78,6,0.01,763.73,Cash,Online
TRANS0006,CUST216,PROD006,1/6/2021,331.12,,0.04,415.41,Credit Card,Online
TRANS0007,CUST044,PROD007,1/7/2021,140.76,1,,350.03,Credit Card,In-Store
TRANS0008,CUST039,PROD008,1/8/2021,484.51,,0.21,203.49,Credit Card,In-Store
TRANS0009,CUST019,PROD009,1/9/2021,565.15,10,0.01,737.97,Credit Card,In-Store
TRANS0010,CUST067,PROD010,1/10/2021,397.66,1,0.15,68.42,Credit Card,Online
TRANS0011,CUST149,PROD011,1/11/2021,507.39,10,0.24,102.42,Bank Transfer,Online
TRANS0012,CUST011,PROD012,1/12/2021,493.04,5,0.02,721.64,Bank Transfer,In-Store
TRANS0013,CUST214,PROD013,1/13/2021,1000.32,2,0.26,157.6,PayPal,Online
TRANS0014,CUST009,PROD014,1/14/2021,519.38,2,0.1,503.59,Bank Transfer,In-Store
TRANS0015,CUST080,PROD015,1/15/2021,734.31,8,0.13,805.52,Cash,In-Store
TRANS0016,CUST087,PROD016,1/16/2021,30.95,7,0.06,377.4,PayPal,In-Store
TRANS0017,CUST102,PROD017,1/17/2021,441.56,5,0.27,720.61,Credit Card,In-Store
TRANS0018,CUST131,PROD018,1/18/2021,803.15,9,0,706.44,Bank Transfer,In-Store
TRANS0019,CUST062,PROD019,1/19/2021,549.93,5,0.1,124.51,Bank Transfer,In-Store
TRANS0020,CUST124,PROD020,1/20/2021,114.99,3,0.01,503.06,PayPal,Online
TRANS0021,CUST013,PROD021,1/21/2021,212.03,2,0.06,41.46,PayPal,In-Store
TRANS0022,CUST154,PROD022,1/22/2021,896.23,2,0.02,412.14,PayPal,Online
TRANS0023,CUST215,PROD023,1/23/2021,179.92,9,0.27,805.61,Cash,Online
TRANS0024,CUST092,PROD024,1/24/2021,951.36,3,0.21,53.22,Bank Transfer,Online
TRANS0025,CUST077,PROD025,1/25/2021,140.41,4,0.22,151.75,Credit Card,Online
TRANS0026,CUST153,PROD026,1/26/2021,759.28,3,0.03,869.79,PayPal,Online
TRANS0027,CUST086,PROD027,1/27/2021,676.51,9,0.23,652.26,Credit Card,Online
TRANS0028,CUST086,PROD028,1/28/2021,685.97,4,0.01,882.91,Bank Transfer,Online
TRANS0029,CUST001,PROD029,1/29/2021,517.44,2,0.13,227.65,Credit Card,Online
TRANS0030,CUST196,PROD030,1/30/2021,952.42,5,0.08,456.01,Bank Transfer,In-Store
TRANS0031,CUST039,PROD031,1/31/2021,219.95,6,0.23,152.05,Bank Transfer,In-Store
TRANS0032,CUST039,PROD032,2/1/2021,618.25,7,0.06,796.82,Cash,Online
TRANS0033,CUST206,PROD033,2/2/2021,253.27,9,0.24,767.23,Bank Transfer,Online
TRANS0034,CUST087,PROD034,2/3/2021,437.07,7,0.29,799.65,Cash,Online
TRANS0035,CUST038,PROD035,2/4/2021,23.83,6,0.3,23.47,PayPal,Online
TRANS0036,CUST144,PROD036,2/5/2021,495.02,1,0.22,258.63,Credit Card,Online
TRANS0037,CUST023,PROD037,2/6/2021,861.6,2,0.24,529.91,Credit Card,Online
TRANS0038,CUST082,PROD038,2/7/2021,571.27,9,0.09,658.81,Bank Transfer,Online
TRANS0039,CUST018,PROD039,2/8/2021,56.7,4,0.09,877.91,Credit Card,Online
TRANS0040,CUST115,PROD040,2/9/2021,280.32,9,0.25,238.72,Credit Card,In-Store
TRANS0041,CUST200,PROD041,2/10/2021,227.78,1,0.11,55.96,Cash,Online
TRANS0042,CUST213,PROD042,2/11/2021,313.61,6,0.04,594.33,Cash,Online
TRANS0043,CUST095,PROD043,2/12/2021,970.95,5,0.27,611.62,PayPal,Online
TRANS0044,CUST202,PROD044,2/13/2021,267.53,1,0.01,524.66,Cash,In-Store
TRANS0045,CUST037,PROD045,2/14/2021,829,8,0.02,713.78,PayPal,Online
TRANS0046,CUST045,PROD046,2/15/2021,687.17,6,0.02,987.13,Credit Card,In-Store
TRANS0047,CUST207,PROD047,2/16/2021,304.95,5,0.25,714.62,Bank Transfer,In-Store
TRANS0048,CUST001,PROD048,2/17/2021,967.45,1,0.01,695.32,Credit Card,Online
TRANS0049,CUST032,PROD049,2/18/2021,974.64,6,0.22,165.15,Credit Card,Online
TRANS0050,CUST104,PROD050,2/19/2021,811.33,7,0.23,660.63,PayPal,In-Store
TRANS0051,CUST041,PROD051,2/20/2021,747.39,6,0.22,925.7,Bank Transfer,Online
TRANS0052,CUST214,PROD052,2/21/2021,190.29,9,0.19,545.46,Credit Card,Online
TRANS0053,CUST032,PROD053,2/22/2021,519.82,8,0.03,952.18,PayPal,In-Store
TRANS0054,CUST118,PROD054,2/23/2021,861.22,5,0.14,283.62,Bank Transfer,Online
TRANS0055,CUST051,PROD055,2/24/2021,886.53,1,0.11,658.23,Cash,Online
TRANS0056,CUST049,PROD056,2/25/2021,853.98,10,0.28,341.06,Credit Card,In-Store
TRANS0057,CUST169,PROD057,2/26/2021,823.49,1,0.04,900.46,Bank Transfer,Online
TRANS0058,CUST085,PROD058,2/27/2021,307.73,10,0.25,983.67,Cash,Online
TRANS0059,CUST137,PROD059,2/28/2021,57.65,10,0.26,400.46,Cash,Online
TRANS0060,CUST169,PROD060,3/1/2021,287.05,9,0.24,568.77,Bank Transfer,Online
TRANS0061,CUST141,PROD061,3/2/2021,710.66,5,0.19,268.68,Cash,Online
TRANS0062,CUST081,PROD062,3/3/2021,246.97,7,0.07,222.57,Cash,Online
TRANS0063,CUST185,PROD063,3/4/2021,437.09,1,0.13,156.54,Credit Card,Online
TRANS0064,CUST010,PROD064,3/5/2021,49.76,7,0.17,57.16,Cash,Online
TRANS0065,CUST069,PROD065,3/6/2021,592.55,7,0.1,131.16,Cash,Online
TRANS0066,CUST072,PROD066,3/7/2021,404.21,7,0.03,772.56,Cash,In-Store
TRANS0067,CUST180,PROD067,3/8/2021,894.76,5,0.22,446.08,Credit Card,Online
TRANS0068,CUST212,PROD068,3/9/2021,914.03,5,0.15,985.2,PayPal,Online
TRANS0069,CUST208,PROD069,3/10/2021,310.43,6,0.16,131.74,Bank Transfer,Online
TRANS0070,CUST120,PROD070,3/11/2021,753.64,2,0.14,877.15,Cash,Online
TRANS0071,CUST029,PROD071,3/12/2021,826.98,2,0.3,597.1,Cash,In-Store
TRANS0072,CUST151,PROD072,3/13/2021,499.78,7,0.05,691.76,Credit Card,In-Store
TRANS0073,CUST107,PROD073,3/14/2021,598.9,8,0.23,321.56,Bank Transfer,In-Store
TRANS0074,CUST075,PROD074,3/15/2021,209.19,2,0.16,809.86,Credit Card,In-Store
TRANS0075,CUST054,PROD075,3/16/2021,429.42,7,0.19,921.88,Bank Transfer,In-Store
TRANS0076,CUST040,PROD076,3/17/2021,336.23,1,0.28,394.57,PayPal,Online
TRANS0077,CUST005,PROD077,3/18/2021,737.03,8,0.11,560.54,PayPal,In-Store
TRANS0078,CUST028,PROD078,3/19/2021,903,7,0.09,941.34,Credit Card,Online
TRANS0079,CUST039,PROD079,3/20/2021,180.46,6,0.27,337.82,Bank Transfer,Online
TRANS0080,CUST075,PROD080,3/21/2021,150.78,10,0.17,48.22,Bank Transfer,Online
TRANS0081,CUST008,PROD081,3/22/2021,729.7,6,0.1,616.6,Cash,Online
TRANS0082,CUST017,PROD082,3/23/2021,245.15,8,0.04,850.64,Credit Card,In-Store
TRANS0083,CUST129,PROD083,3/24/2021,377.56,7,0.15,19.09,Bank Transfer,In-Store
TRANS0084,CUST076,PROD084,3/25/2021,195.57,10,0.11,501.27,PayPal,Online
TRANS0085,CUST015,PROD085,3/26/2021,569.36,8,0.25,615.13,PayPal,Online
TRANS0086,CUST017,PROD086,3/27/2021,560.06,3,0.09,898.03,Cash,Online
TRANS0087,CUST060,PROD087,3/28/2021,464.74,8,0.29,793.47,Bank Transfer,In-Store
TRANS0088,CUST087,PROD088,3/29/2021,471.75,6,0.12,203.26,Bank Transfer,In-Store
TRANS0089,CUST163,PROD089,3/30/2021,698.8,3,0.28,93.26,Bank Transfer,In-Store
TRANS0090,CUST120,PROD090,3/31/2021,597.75,3,0.22,219.89,PayPal,In-Store
TRANS0091,CUST056,PROD091,4/1/2021,101.18,5,0.18,933.97,PayPal,In-Store
TRANS0092,CUST111,PROD092,4/2/2021,602.62,2,0.05,954.74,Credit Card,Online
TRANS0093,CUST125,PROD093,4/3/2021,761.03,2,0.03,410,Credit Card,In-Store
TRANS0094,CUST132,PROD094,4/4/2021,763.76,3,0.03,127.62,PayPal,In-Store
TRANS0095,CUST193,PROD095,4/5/2021,394.19,5,0.27,266.34,Credit Card,Online
TRANS0096,CUST074,PROD096,4/6/2021,557.01,5,0.15,318.97,Cash,Online
TRANS0097,CUST211,PROD097,4/7/2021,110.2,9,0.07,975.49,Cash,In-Store
TRANS0098,CUST175,PROD098,4/8/2021,309.37,7,0.21,119.32,PayPal,Online
TRANS0099,CUST075,PROD099,4/9/2021,880.14,6,0.27,875.24,Bank Transfer,In-Store
TRANS0100,CUST194,PROD100,4/10/2021,26.37,9,0.14,855.43,Cash,Online
TRANS0101,CUST083,PROD101,4/11/2021,785.8,8,0.09,1000.86,PayPal,Online
TRANS0102,CUST063,PROD102,4/12/2021,981.72,2,0.14,159.32,Cash,In-Store
TRANS0103,CUST097,PROD103,4/13/2021,723.62,9,0.14,389.99,PayPal,In-Store
TRANS0104,CUST133,PROD104,4/14/2021,518.64,10,0.22,654.53,Credit Card,In-Store
TRANS0105,CUST187,PROD105,4/15/2021,65.4,5,0.11,16.11,Bank Transfer,In-Store
TRANS0106,CUST142,PROD106,4/16/2021,301.67,9,0.02,446.68,PayPal,In-Store
TRANS0107,CUST001,PROD107,4/17/2021,456.66,8,0.22,336.16,Cash,In-Store
TRANS0108,CUST028,PROD108,4/18/2021,688.62,7,0.22,635.29,Bank Transfer,Online
TRANS0109,CUST165,PROD109,4/19/2021,408.08,2,0.07,273.32,Bank Transfer,In-Store
TRANS0110,CUST057,PROD110,4/20/2021,540.47,8,0.22,711.18,Bank Transfer,Online
TRANS0111,CUST198,PROD111,4/21/2021,949.47,8,0,974.11,PayPal,Online
TRANS0112,CUST213,PROD112,4/22/2021,456.93,2,0.24,583.2,PayPal,Online
TRANS0113,CUST191,PROD113,4/23/2021,392.05,8,0.28,785,Cash,In-Store
TRANS0114,CUST218,PROD114,4/24/2021,897.75,7,0.28,623.3,Bank Transfer,Online
TRANS0115,CUST223,PROD115,4/25/2021,272.45,6,0.17,523.63,Bank Transfer,Online
TRANS0116,CUST006,PROD116,4/26/2021,273.77,8,0.02,351.84,Cash,In-Store
TRANS0117,CUST091,PROD117,4/27/2021,377.28,8,0,404.33,PayPal,In-Store
TRANS0118,CUST065,PROD118,4/28/2021,404.53,4,0.07,538.58,Bank Transfer,In-Store
TRANS0119,CUST201,PROD119,4/29/2021,443.54,9,0.28,82.21,Cash,Online
TRANS0120,CUST068,PROD120,4/30/2021,775.71,10,0.25,308.01,Cash,In-Store
TRANS0121,CUST077,PROD121,5/1/2021,276.81,2,0.11,952.64,Cash,Online
TRANS0122,CUST138,PROD122,5/2/2021,906.82,2,0.08,673.88,Bank Transfer,In-Store
TRANS0123,CUST210,PROD123,5/3/2021,849.2,8,0.07,995.32,Credit Card,In-Store
TRANS0124,CUST202,PROD124,5/4/2021,172.38,7,0.27,126.84,Credit Card,Online
TRANS0125,CUST077,PROD125,5/5/2021,655.66,7,0.08,983.19,Cash,Online
TRANS0126,CUST188,PROD126,5/6/2021,363.98,7,0.05,880.4,Cash,Online
TRANS0127,CUST184,PROD127,5/7/2021,778.59,3,0.12,102.02,Credit Card,In-Store
TRANS0128,CUST140,PROD128,5/8/2021,200.15,3,0.23,492.96,Credit Card,Online
TRANS0129,CUST150,PROD129,5/9/2021,770.26,5,0.12,81.14,Bank Transfer,In-Store
TRANS0130,CUST151,PROD130,5/10/2021,739.83,6,0.21,844,Cash,Online
TRANS0131,CUST084,PROD131,5/11/2021,979.4,1,0.27,296.37,PayPal,Online
TRANS0132,CUST227,PROD132,5/12/2021,796.14,8,0.04,334.76,Cash,Online
